4/3/25 19:33:1, Microphone: 128, Temp =  77.58, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -17.92, GyroY =  0.84, GyroZ =  0.98, 
4/3/25 19:33:2, Microphone: 90, Temp =  77.65, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.26, 
4/3/25 19:33:3, Microphone: -31, Temp =  77.58, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -17.92, GyroY =  0.77, GyroZ =  0.91, 
4/3/25 19:33:5, Microphone: -7, Temp =  77.58, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.84, GyroZ =  1.33, 
4/3/25 19:33:6, Microphone: 27, Temp =  77.58, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  0.98, 
4/3/25 19:33:7, Microphone: 24, Temp =  77.74, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.91, GyroZ =  1.19, 
4/3/25 19:33:9, Microphone: 78, Temp =  77.63, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.70, GyroZ =  1.33, 
4/3/25 19:33:10, Microphone: -80, Temp =  77.60, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.91, GyroZ =  1.05, 
4/3/25 19:33:11, Microphone: 70, Temp =  77.67, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -17.92, GyroY =  0.91, GyroZ =  1.12, 
4/3/25 19:33:12, Microphone: 109, Temp =  77.63, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  1.19, 
4/3/25 19:33:14, Microphone: -19, Temp =  77.51, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.56, GyroZ =  1.12, 
4/3/25 19:33:15, Microphone: 8, Temp =  77.63, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.91, GyroZ =  1.26, 
4/3/25 19:33:16, Microphone: 81, Temp =  77.71, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.42, GyroZ =  1.12, 
4/3/25 19:33:17, Microphone: -41, Temp =  77.55, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.49, GyroZ =  1.12, 
4/3/25 19:33:19, Microphone: -55, Temp =  77.56, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.19, 
4/3/25 19:33:20, Microphone: 98, Temp =  77.64, AccX =  0.04, AccY =  0.01, AccZ =  1.02, GyroX =  -0.14, GyroY =  1.05, GyroZ =  1.19, 
4/3/25 19:33:21, Microphone: 49, Temp =  77.70, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.19, 
4/3/25 19:33:22, Microphone: 16, Temp =  77.58, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  1.26, GyroZ =  1.47, 
4/3/25 19:33:24, Microphone: -34, Temp =  77.64, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.19, 
4/3/25 19:33:25, Microphone: 50, Temp =  77.65, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.77, GyroZ =  1.40, 
4/3/25 19:33:26, Microphone: -3, Temp =  77.65, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.12, 
4/3/25 19:33:28, Microphone: 84, Temp =  77.63, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.98, GyroZ =  1.12, 
4/3/25 19:33:29, Microphone: -36, Temp =  77.60, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.35, GyroZ =  1.19, 
4/3/25 19:33:30, Microphone: 38, Temp =  77.59, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.26, 
4/3/25 19:33:31, Microphone: 85, Temp =  77.68, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.19, 
4/3/25 19:33:33, Microphone: -47, Temp =  77.62, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.77, GyroZ =  1.33, 
4/3/25 19:33:34, Microphone: 30, Temp =  77.67, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.91, GyroZ =  1.26, 
4/3/25 19:33:35, Microphone: -10, Temp =  77.62, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.84, GyroZ =  1.05, 
4/3/25 19:33:36, Microphone: -3, Temp =  77.60, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.98, GyroZ =  1.61, 
4/3/25 19:33:38, Microphone: 92, Temp =  77.68, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  1.26, 
4/3/25 19:33:39, Microphone: 91, Temp =  77.68, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  1.19, GyroZ =  1.19, 
