aX,aY,aZ
0.579,0.743,0.732
0.586,0.798,0.755
0.611,0.828,0.767
0.623,0.883,0.786
0.653,0.903,0.795
0.665,0.928,0.808
0.681,0.935,0.815
0.692,0.938,0.824
0.707,0.934,0.834
0.712,0.911,0.84
0.716,0.892,0.865
0.712,0.847,0.88
0.686,0.819,0.92
0.667,0.773,0.937
0.629,0.75,0.956
0.569,0.675,0.951
0.546,0.628,0.932
0.404,0.489,0.866
0.445,0.386,0.996
0.517,0.239,0.994
0.465,0.241,0.951
0.365,0.184,0.951
0.346,0.177,0.938
0.289,0.229,0.935
0.277,0.238,0.935
0.255,0.241,0.929
0.239,0.257,0.89
0.228,0.282,0.863
0.231,0.276,0.801
0.238,0.329,0.763
0.239,0.387,0.686
0.238,0.458,0.656
0.246,0.61,0.615
0.277,0.555,0.597
0.293,0.621,0.567
0.329,0.647,0.563
0.347,0.663,0.578
0.385,0.661,0.59
0.406,0.642,0.613
0.447,0.627,0.627
0.464,0.591,0.651
0.489,0.572,0.66
0.5,0.537,0.671
0.512,0.523,0.672
0.515,0.502,0.676
0.511,0.482,0.673
0.511,0.425,0.671
0.485,0.415,0.693
0.464,0.366,0.749
0.452,0.343,0.808
0.44,0.278,0.836
0.441,0.247,0.882
0.438,0.203,0.899
0.437,0.194,0.926
0.438,0.176,0.937
0.438,0.167,0.956
0.436,0.153,0.964
0.433,0.147,0.985
0.443,0.142,0.993
0.448,0.145,0.996
0.466,0.158,0.988
0.478,0.171,0.974
0.505,0.213,0.964
0.517,0.261,0.943
0.544,0.287,0.935
0.554,0.309,0.925
0.566,0.346,0.916
0.566,0.369,0.9
0.557,0.374,0.893
0.55,0.375,0.886
0.536,0.368,0.881
0.53,0.348,0.873
0.513,0.333,0.869
0.379,0.295,0.868
0.49,0.275,0.878
0.491,0.241,0.891
0.507,0.228,0.923
0.526,0.189,0.935
0.531,0.161,0.958
0.539,0.096,0.972
0.543,0.064,1.002
0.554,0.01,1.018
0.559,-0.005,1.043
0.571,-0.016,1.049
0.577,0.007,1.053
0.577,0.033,1.053
0.572,0.081,1.047
0.548,0.102,1.037
0.529,0.116,1.002
0.507,0.13,0.976
0.496,0.157,0.931
0.471,0.173,0.915
0.455,0.191,0.882
0.421,0.193,0.864
0.408,0.201,0.83
0.389,0.21,0.817
0.388,0.243,0.799
0.401,0.263,0.797
0.408,0.301,0.8
0.419,0.312,0.803
0.42,0.314,0.809
0.42,0.305,0.812
0.419,0.284,0.819
0.429,0.27,0.828
0.436,0.233,0.843
0.445,0.207,0.854
0.451,0.158,0.882
0.468,0.133,0.899
0.476,0.084,0.934
0.492,0.061,0.944
0.501,0.032,0.958
0.508,0.028,0.965
0.508,0.03,0.966
0.505,0.033,0.968
0.489,0.039,0.959
0.48,0.042,0.934
0.468,0.053,0.922
0.465,0.064,0.895
0.461,0.088,0.884
0.502,0.916,0.619
0.48,0.945,0.611
0.46,0.998,0.632
0.453,1.021,0.642
0.441,1.011,0.63
0.429,0.991,0.622
0.427,0.981,0.633
0.418,0.934,0.666
0.39,0.913,0.691
0.383,0.827,0.745
0.366,0.763,0.772
0.357,0.617,0.826
0.358,0.553,0.978
0.355,0.468,0.908
0.34,0.443,0.936
0.353,0.406,0.994
0.357,0.405,0.996
0.358,0.399,0.996
0.347,0.403,0.997
0.346,0.425,0.985
0.309,0.43,0.966
0.306,0.492,0.922
0.33,0.504,0.807
0.353,0.539,0.755
0.38,0.562,0.69
0.425,0.61,0.653
0.417,0.625,0.583
0.39,0.658,0.548
0.399,0.704,0.468
