aX,aY,aZ
-0.577,0.586,1.018
-0.699,0.647,1.012
-0.837,0.775,0.999
-0.917,0.965,0.947
-1.084,0.964,0.911
-1.232,1.104,0.824
-1.359,1.342,0.631
-1.268,1.483,0.59
-1.167,1.551,0.509
-0.84,1.653,0.476
-0.629,1.76,0.471
-0.178,1.84,0.481
0.035,1.991,0.411
0.366,2.049,0.354
0.467,2.083,0.233
0.605,2.073,0.197
0.669,1.971,0.181
0.819,1.883,0.197
0.91,1.682,0.249
1.005,1.537,0.252
0.998,1.082,0.325
0.866,0.815,0.379
0.753,0.181,0.606
0.466,-0.107,0.871
0.232,-0.718,1.069
0.112,-1.009,1.517
-0.059,-1.545,1.714
-0.072,-1.794,2.03
0.042,-1.871,2.309
0.14,-2.064,2.407
0.132,-2.108,2.537
0.087,-1.912,2.581
0.076,-1.708,2.652
0.108,-1.332,2.696
0.108,-0.998,2.703
0.068,-1.002,2.633
-0.017,-0.783,2.381
-0.249,-0.734,2.227
-0.311,-0.635,1.93
-0.223,-0.669,1.687
-0.061,-0.872,1.603
-0.009,-0.914,1.334
0.057,-0.895,1.188
0.091,-0.908,0.975
0.066,-0.913,0.888
0.045,-0.824,0.712
0.114,-0.778,0.704
0.179,-0.672,0.777
0.259,-0.62,0.812
0.299,-0.491,0.813
0.346,-0.437,0.773
0.443,-0.299,0.724
0.476,-0.268,0.679
0.544,-0.217,0.632
0.594,-0.224,0.543
0.642,-0.232,0.497
0.506,-0.25,0.394
0.592,-0.239,0.314
0.559,-0.231,0.302
0.535,-0.252,0.358
0.468,-0.298,0.398
0.444,-0.297,0.491
0.4,-0.291,0.555
0.386,-0.293,0.704
0.362,-0.306,0.784
0.353,-0.322,0.943
0.341,-0.327,1.008
0.336,-0.293,1.098
0.329,-0.259,1.128
0.329,-0.206,1.18
0.329,-0.19,1.205
0.319,-0.171,1.205
0.318,-0.164,1.201
0.324,-0.129,1.192
0.334,-0.078,1.174
0.369,-0.062,1.156
0.381,-0.024,1.149
0.407,-0.007,1.155
0.427,0.019,1.171
0.428,0.025,1.194
0.415,0.028,1.205
0.411,0.027,1.233
0.387,0.019,1.242
0.368,0.003,1.246
0.319,-0.037,1.241
0.293,-0.058,1.218
0.25,-0.059,1.194
0.233,-0.037,1.124
0.206,-0.042,1.087
0.207,-0.061,1.017
0.213,-0.062,0.986
0.212,-0.064,0.939
0.205,-0.065,0.913
0.201,-0.06,0.907
0.201,-0.058,0.934
0.21,0.002,0.954
0.219,-0.023,0.997
0.24,-0.042,1.026
0.243,-0.027,1.083
0.218,-0.024,1.103
0.202,-0.055,1.145
0.185,-0.069,1.166
0.18,-0.078,1.2
0.175,-0.082,1.212
0.166,-0.088,1.22
0.163,-0.09,1.221
0.156,-0.09,1.219
0.152,-0.097,1.194
0.148,-0.091,1.192
0.149,-0.097,1.168
0.145,-0.116,1.155
0.147,-0.131,1.135
0.144,-0.133,1.126
0.133,-0.127,1.098
0.097,-0.109,1.066
0.081,-0.101,1.035
0.083,-0.102,0.971
0.108,-0.093,0.935
0.121,-0.078,0.878
-0.477,0.4,1.245
-0.497,0.492,1.25
-0.52,0.719,1.26
-0.52,0.853,1.279
-0.5,1.073,1.273
-0.512,1.332,1.226
-0.612,1.501,1.165
-0.701,1.871,1.041
-0.876,2.089,0.843
-0.946,2.605,0.949
-1.058,2.791,0.243
-0.939,2.993,0.049
-0.715,2.96,-0.379
-0.179,2.8,-0.593
0.11,2.84,-1.12
0.616,2.866,-1.426
0.849,3.045,-1.874
1.336,3.128,-2.163
1.66,3.187,-2.359
1.691,3.132,-2.564
1.933,2.836,-2.184
2.049,2.102,-1.715
1.767,1.516,-1.512
1.657,0.256,-0.372
1.323,-0.308,1.22
0.935,-1.397,2.016
0.714,-2.161,3.472
0.231,-3.737,3.967
-0.047,-4.151,5.13
-0.687,-4.068,5.581
-1.118,-4.137,5.58
-1.772,-3.908,5.493
-1.765,-3.197,5.022
-1.728,-2.865,4.435
-1.295,-2.493,4.226
-1.115,-2.436,3.786
-0.998,-2.383,3.498
-1.047,-2.288,3.176
-1.013,-2.215,2.963
-0.925,-2.1,2.799
-0.842,-1.863,2.237
-0.569,-1.655,1.898
-0.402,-1.267,1.208
-0.071,-1.111,0.624
0.238,-0.828,0.242
0.362,-0.682,-0.27
0.549,-0.356,-0.507
0.618,-0.064,-0.864
0.723,0.036,-0.974
0.761,0.234,-1.039
0.892,0.325,-0.927
0.99,0.442,-0.815
1.009,0.447,-0.521
1.017,0.414,-0.378
1.01,0.384,-0.09
0.983,0.303,0.064
0.965,0.243,0.378
0.907,0.103,0.53
0.871,0.039,0.814
0.78,-0.062,0.924
0.724,-0.097,1.089
0.61,-0.139,1.148
0.554,-0.18,1.229
0.452,-0.201,1.254
0.41,-0.229,1.282
0.349,-0.243,1.292
0.301,-0.285,1.294
0.278,-0.302,1.303
0.238,-0.316,1.313
0.223,-0.315,1.328
0.198,-0.31,1.33
0.188,-0.306,1.321
0.166,-0.283,1.309
0.161,-0.25,1.275
0.15,-0.235,1.259
0.151,-0.208,1.204
0.144,-0.202,1.118
0.145,-0.179,1.066
0.151,-0.16,0.951
0.174,-0.121,0.896
0.189,-0.108,0.811
0.209,-0.104,0.778
0.214,-0.12,0.758
0.235,-0.13,0.769
0.233,-0.151,0.776
0.209,-0.158,0.782
0.198,-0.193,0.823
0.196,-0.219,0.912
0.175,-0.306,0.963
0.136,-0.343,1.055
0.065,-0.417,1.084
0.049,-0.444,1.152
0.044,-0.456,1.187
0.046,-0.428,1.238
0.06,-0.407,1.249
